cluster,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_top_tokens_str,features_sorted,steering_features
88,1,0.9916953449249267,0.9916953449249267,771,0.9916953449249267,[],[771],[771]
71,1,0.02676307964324951,0.02676307964324951,344,0.02676307964324951,[],[344],[344]
89,1,0.006137344405055046,0.006137344405055046,527,0.006137344405055046,[],[527],[527]
97,1,0.0008175585046410561,0.0008175585046410561,383,0.0008175585046410561,[],[383],[383]
98,1,0.0005901283957064152,0.0005901283957064152,218,0.0005901283957064152,[],[218],[218]
77,1,0.0003772190567106009,0.0003772190567106009,488,0.0003772190567106009,[],[488],[488]
75,1,0.000234923692420125,0.000234923692420125,688,0.000234923692420125,[],[688],[688]
59,1,0.0002120317332446575,0.0002120317332446575,565,0.0002120317332446575,[],[565],[565]
90,1,7.842666050419211e-05,7.842666050419211e-05,591,7.842666050419211e-05,[],[591],[591]
93,1,4.49463464319706e-05,4.49463464319706e-05,748,4.49463464319706e-05,[],[748],[748]
72,1,4.2676773853600025e-05,4.2676773853600025e-05,630,4.2676773853600025e-05,[],[630],[630]
62,1,2.4572219699621198e-05,2.4572219699621198e-05,19,2.4572219699621198e-05,[],[19],[19]
65,1,1.72607337590307e-05,1.72607337590307e-05,628,1.72607337590307e-05,[],[628],[628]
55,1,8.869764860719442e-06,8.869764860719442e-06,721,8.869764860719442e-06,[],[721],[721]
76,1,8.042585104703903e-06,8.042585104703903e-06,584,8.042585104703903e-06,[],[584],[584]
87,1,5.607719067484141e-06,5.607719067484141e-06,666,5.607719067484141e-06,[],[666],[666]
84,1,3.2161111012101175e-06,3.2161111012101175e-06,182,3.2161111012101175e-06,[],[182],[182]
74,1,2.1665883250534533e-06,2.1665883250534533e-06,596,2.1665883250534533e-06,[],[596],[596]
73,1,1.5819102991372348e-06,1.5819102991372348e-06,166,1.5819102991372348e-06,[],[166],[166]
53,1,7.562092505395412e-07,7.562092505395412e-07,671,7.562092505395412e-07,[],[671],[671]
81,1,5.178549326956272e-07,5.178549326956272e-07,176,5.178549326956272e-07,[],[176],[176]
96,1,5.167212802916765e-07,5.167212802916765e-07,21,5.167212802916765e-07,[],[21],[21]
56,1,4.67320904135704e-07,4.67320904135704e-07,457,4.67320904135704e-07,[],[457],[457]
60,1,1.724038738757372e-07,1.724038738757372e-07,549,1.724038738757372e-07,[],[549],[549]
51,1,1.6819755546748639e-07,1.6819755546748639e-07,242,1.6819755546748639e-07,[],[242],[242]
44,1,1.1099688708782196e-07,1.1099688708782196e-07,106,1.1099688708782196e-07,[],[106],[106]
83,1,5.514943040907383e-08,5.514943040907383e-08,211,5.514943040907383e-08,[],[211],[211]
43,1,5.449447780847549e-08,5.449447780847549e-08,387,5.449447780847549e-08,[],[387],[387]
63,1,5.449447780847549e-08,5.449447780847549e-08,250,5.449447780847549e-08,[],[250],[250]
0,1,0.0,0.0,806,0.0,[],[806],[806]
1,1,0.0,0.0,804,0.0,[],[804],[804]
2,1,0.0,0.0,731,0.0,[],[731],[731]
3,1,0.0,0.0,719,0.0,[],[719],[719]
4,1,0.0,0.0,798,0.0,[],[798],[798]
5,1,0.0,0.0,645,0.0,[],[645],[645]
6,1,0.0,0.0,461,0.0,[],[461],[461]
7,1,0.0,0.0,440,0.0,[],[440],[440]
8,1,0.0,0.0,30,0.0,[],[30],[30]
9,1,0.0,0.0,753,0.0,[],[753],[753]
10,1,0.0,0.0,425,0.0,[],[425],[425]
11,1,0.0,0.0,145,0.0,[],[145],[145]
12,1,0.0,0.0,525,0.0,[],[525],[525]
13,1,0.0,0.0,54,0.0,[],[54],[54]
14,1,0.0,0.0,783,0.0,[],[783],[783]
15,1,0.0,0.0,667,0.0,[],[667],[667]
16,1,0.0,0.0,394,0.0,[],[394],[394]
17,1,0.0,0.0,799,0.0,[],[799],[799]
18,1,0.0,0.0,185,0.0,[],[185],[185]
19,1,0.0,0.0,699,0.0,[],[699],[699]
20,1,0.0,0.0,597,0.0,[],[597],[597]
21,1,0.0,0.0,320,0.0,[],[320],[320]
22,1,0.0,0.0,434,0.0,[],[434],[434]
23,1,0.0,0.0,210,0.0,[],[210],[210]
24,1,0.0,0.0,338,0.0,[],[338],[338]
25,1,0.0,0.0,120,0.0,[],[120],[120]
26,1,0.0,0.0,187,0.0,[],[187],[187]
27,1,0.0,0.0,150,0.0,[],[150],[150]
28,1,0.0,0.0,637,0.0,[],[637],[637]
29,1,0.0,0.0,274,0.0,[],[274],[274]
30,1,0.0,0.0,725,0.0,[],[725],[725]
31,1,0.0,0.0,775,0.0,[],[775],[775]
32,1,0.0,0.0,294,0.0,[],[294],[294]
33,1,0.0,0.0,812,0.0,[],[812],[812]
34,1,0.0,0.0,583,0.0,[],[583],[583]
35,1,0.0,0.0,154,0.0,[],[154],[154]
36,1,0.0,0.0,222,0.0,[],[222],[222]
37,1,0.0,0.0,727,0.0,[],[727],[727]
38,1,0.0,0.0,230,0.0,[],[230],[230]
39,1,0.0,0.0,351,0.0,[],[351],[351]
40,1,0.0,0.0,751,0.0,[],[751],[751]
41,1,0.0,0.0,264,0.0,[],[264],[264]
42,1,0.0,0.0,313,0.0,[],[313],[313]
45,1,0.0,0.0,248,0.0,[],[248],[248]
46,1,0.0,0.0,95,0.0,[],[95],[95]
47,1,0.0,0.0,332,0.0,[],[332],[332]
48,1,0.0,0.0,450,0.0,[],[450],[450]
49,1,0.0,0.0,103,0.0,[],[103],[103]
50,1,0.0,0.0,206,0.0,[],[206],[206]
52,1,0.0,0.0,577,0.0,[],[577],[577]
54,1,0.0,0.0,307,0.0,[],[307],[307]
57,1,0.0,0.0,190,0.0,[],[190],[190]
58,1,0.0,0.0,223,0.0,[],[223],[223]
61,1,0.0,0.0,28,0.0,[],[28],[28]
64,1,0.0,0.0,303,0.0,[],[303],[303]
66,1,0.0,0.0,32,0.0,[],[32],[32]
67,1,0.0,0.0,395,0.0,[],[395],[395]
68,1,0.0,0.0,447,0.0,[],[447],[447]
69,1,0.0,0.0,196,0.0,[],[196],[196]
70,1,0.0,0.0,444,0.0,[],[444],[444]
78,1,0.0,0.0,442,0.0,[],[442],[442]
79,1,0.0,0.0,37,0.0,[],[37],[37]
80,1,0.0,0.0,635,0.0,[],[635],[635]
82,1,0.0,0.0,574,0.0,[],[574],[574]
85,1,0.0,0.0,462,0.0,[],[462],[462]
86,1,0.0,0.0,350,0.0,[],[350],[350]
91,1,0.0,0.0,439,0.0,[],[439],[439]
92,1,0.0,0.0,172,0.0,[],[172],[172]
94,1,0.0,0.0,219,0.0,[],[219],[219]
95,1,0.0,0.0,304,0.0,[],[304],[304]
